epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.5202544430270791,0.467772767020082,76.54457768508864,79.25159720109522,0.0001
2,0.4583360319646696,0.30953383899646475,80.8589676746611,87.7700030422878,0.0001
3,0.4332484273550411,0.30959293338497285,82.20151199165798,88.46972923638576,0.0001
4,0.4117408645649751,0.3336844345174947,83.12043795620438,86.24885914207483,0.0001
5,0.3961067392801245,0.3297282549398906,84.36522419186653,87.19196836020687,1e-05
6,0.3567883404903114,0.30672358001754124,86.13790406673618,87.83084879829632,1e-05
7,0.3423353081103414,0.3006182256181842,86.5354535974974,88.01338606632187,1e-05
8,0.34679311184833445,0.30627308445937423,86.66579770594369,87.95254031031335,1e-05
9,0.3374321991422524,0.34903549641660114,86.65928050052138,84.87982963188318,1e-05
10,0.3183047960822781,0.31124778996104174,87.78023983315954,87.19196836020687,1.0000000000000002e-06
11,0.3179361399573584,0.31547868646030286,87.51303441084463,86.76604806814724,1.0000000000000002e-06
12,0.31662914895763,0.30397755898607587,87.35662148070907,87.80042592029206,1.0000000000000002e-06
