epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.37027375661220746,0.25392523566609454,84.85434805976567,89.98996487706974,0.0001
2,0.30637484160331924,0.2418441597577039,88.50370848113512,90.04014049172102,0.0001
3,0.28277270051673103,0.21518682781400275,89.3152746425884,91.94681384846965,0.0001
4,0.26739377226629313,0.21074156964118357,90.15371385574547,92.2980431510286,0.0001
5,0.25322082215644853,0.22904107288784906,90.80404170697625,90.94330155544405,0.0001
6,0.24355876857344433,0.1993721399597962,90.94915618617651,92.34821876567987,0.0001
7,0.23008475040767304,0.23107653625513488,91.40062345479953,91.21926743602609,0.0001
8,0.21749616823642423,0.23850638178526423,91.83596689240031,91.11891620672353,0.0001
9,0.20777081416542179,0.23255149124102276,92.32505643340858,91.3447064726543,1e-05
10,0.16611554423391922,0.22668529599026885,94.12555089755993,91.47014550928249,1e-05
11,0.15446593587149152,0.2214409169260626,94.4319036869827,92.2980431510286,1e-05
