epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.3386957562461342,0.24847584677953274,86.64409330323552,91.14400401404917,0.0001
2,0.2787841336731239,0.21710009735279165,89.8688595076857,91.62067235323633,0.0001
3,0.2564672263422373,0.218588998664869,90.68580027947974,91.62067235323633,0.0001
4,0.24172318872717238,0.19247821752505842,91.05127378265075,93.00050175614652,0.0001
5,0.23086948482210898,0.1886035701486544,91.87358916478556,93.00050175614652,0.0001
6,0.2157569435357894,0.20229241965997175,92.48092013329034,92.72453587556447,0.0001
7,0.20758067530378238,0.24912733164429665,92.80339675373536,91.59558454591068,0.0001
8,0.19862091776201202,0.19044209302341913,92.94313662259486,92.72453587556447,1e-05
9,0.1600877834528787,0.1857452674843589,94.34053531118994,92.84997491219268,1e-05
10,0.13994080291363278,0.1933521388385925,95.09835536923573,92.87506271951831,1e-05
11,0.13037300091940923,0.19584446267896918,95.3402128345695,92.57400903161064,1e-05
12,0.12171135810795929,0.20349955718481214,95.62506718262927,93.15102860010035,1.0000000000000002e-06
13,0.11720427648481174,0.19926569310802006,95.72181016876276,93.00050175614652,1.0000000000000002e-06
14,0.11500777590450194,0.19841458335338394,95.85080081694078,92.59909683893628,1.0000000000000002e-06
