epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.2942575863803762,0.1895517181298342,88.36820905786423,92.4787892685164,0.0001
2,0.23428697872386436,0.18207605428927104,91.35966204931722,93.0749828021096,0.0001
3,0.21540503761492774,0.19387398407221088,92.21927497789567,92.68516395322173,0.0001
4,0.20200166155641175,0.1618185825056225,92.73995480892033,94.01513414354505,0.0001
5,0.19020841732106553,0.1666602613546423,93.3588761174968,93.62531529465718,0.0001
6,0.18877381127579151,0.16981504734970415,93.1967776795363,93.64824581518,0.0001
7,0.16931851032618403,0.1825867854646715,93.99744572158366,93.76289841779409,1e-05
8,0.14001622661550528,0.1674030415325191,95.10266234404166,93.83168997936254,1e-05
9,0.127132520088385,0.15879632869749655,95.6282542489439,94.38202247191012,1e-05
10,0.11817345469371303,0.1586397488792802,95.79035268690441,94.17564778720477,1e-05
11,0.10869185365970412,0.16228931835152988,96.20787896649965,94.0839257051135,1e-05
12,0.10104788554572096,0.16754462662301645,96.38471362609293,93.99220362302225,1e-05
13,0.09880658499955008,0.17508789075518483,96.37980155221534,94.24443934877321,1.0000000000000002e-06
14,0.08786376800353009,0.16881458328526605,96.84153649670891,94.24443934877321,1.0000000000000002e-06
15,0.09432500214323261,0.16953754487285316,96.55172413793103,94.19857830772759,1.0000000000000002e-06
