epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.5,0.45,0.8,0.84,0.001
1,0.5,0.45,0.81,0.85,0.002
1,0.6071911382178465,0.6141908313464193,67.41397288842545,65.25707331913598,0.001
2,0.5676918342709542,0.5846413848469558,71.39598540145985,68.20809248554913,0.001
3,0.5710268447796504,0.4419743841134229,71.63060479666319,80.19470641922726,0.001
4,0.5546821829552452,0.41842210365151894,72.43873826903024,82.81107392759355,0.001
5,0.5583673528706034,0.4665678179669149,72.80370177267987,78.8256769090356,0.001
6,0.5555782159169514,0.41216349876621394,72.53649635036497,82.75022817158504,0.001
7,0.5531856620063385,0.4288385922758325,72.5495307612096,81.25950714937633,0.001
8,0.543671685953935,0.4481964723288434,73.65745568300312,79.86005476118041,0.001
9,0.5554293200994531,0.43747941614354696,72.82977059436914,80.71189534529967,0.001
